<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.06.22	06:00:00	1.09935	1.09943	1.09912	1.09928	1068	0	0
2023.06.22	07:00:00	1.09928	1.09938	1.09866	1.09873	1706	0	0
2023.06.22	08:00:00	1.09871	1.09906	1.09848	1.09858	2052	0	0
2023.06.22	09:00:00	1.09861	1.09905	1.09806	1.09826	2908	0	0
2023.06.22	10:00:00	1.09827	1.10001	1.09798	1.09944	5063	0	0
2023.06.22	11:00:00	1.09942	1.10037	1.09872	1.09929	3849	0	0
2023.06.22	12:00:00	1.09928	1.10040	1.09921	1.10018	2743	0	0
2023.06.22	13:00:00	1.10017	1.10080	1.10002	1.10044	2790	0	0
2023.06.22	14:00:00	1.10045	1.10124	1.09881	1.09894	5878	0	0
2023.06.22	15:00:00	1.09892	1.10015	1.09805	1.09825	5382	0	0
2023.06.22	16:00:00	1.09825	1.09850	1.09681	1.09815	6042	0	0
2023.06.22	17:00:00	1.09813	1.09891	1.09586	1.09591	6186	0	0
2023.06.22	18:00:00	1.09591	1.09666	1.09521	1.09526	4615	0	0
2023.06.22	19:00:00	1.09525	1.09567	1.09484	1.09545	2509	0	0
2023.06.22	20:00:00	1.09546	1.09581	1.09500	1.09571	2338	0	0
2023.06.22	21:00:00	1.09572	1.09602	1.09511	1.09591	2023	0	0
2023.06.22	22:00:00	1.09591	1.09616	1.09543	1.09580	1866	0	0
2023.06.22	23:00:00	1.09580	1.09584	1.09532	1.09534	454	0	0
2023.06.23	00:00:00	1.09539	1.09560	1.09539	1.09543	171	0	13
2023.06.23	01:00:00	1.09543	1.09553	1.09530	1.09536	310	0	0
2023.06.23	02:00:00	1.09536	1.09577	1.09534	1.09554	1003	0	0
2023.06.23	03:00:00	1.09554	1.09585	1.09527	1.09552	1922	0	0
2023.06.23	04:00:00	1.09552	1.09563	1.09460	1.09467	2552	0	0
2023.06.23	05:00:00	1.09466	1.09466	1.09322	1.09386	2489	0	0
2023.06.23	06:00:00	1.09384	1.09404	1.09348	1.09357	1728	0	0
2023.06.23	07:00:00	1.09356	1.09370	1.09289	1.09330	2273	0	0
2023.06.23	08:00:00	1.09331	1.09340	1.09274	1.09325	2490	0	0
2023.06.23	09:00:00	1.09326	1.09333	1.09205	1.09231	3374	0	0
2023.06.23	10:00:00	1.09232	1.09261	1.08530	1.08687	9032	0	0
2023.06.23	11:00:00	1.08692	1.08743	1.08487	1.08491	5641	0	0
